"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL2048713";"";"None";"470.53";"0";"1.98";"16c";"COc1ccc(C(=O)c2cccc(/C=c3\[nH]c(=O)/c(=C/c4nc[nH]c4C(C)(C)C)[nH]c3=O)c2)cc1";"IC50";"'='";"3.8";"nM";"8.42";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2051659";"Cytotoxicity against human HT-29 cells after 48 hrs by XTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HT-29";"None";"";"";"";"CHEMBL384";"HT-29";"Homo sapiens";"CELL-LINE";"CHEMBL2046436";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"CHEMBL3307768";"";""
"CHEMBL2048722";"";"None";"474.95";"0";"2.63";"16l";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3cccc(Cl)c3)c2)[nH]c1=O";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2051659";"Cytotoxicity against human HT-29 cells after 48 hrs by XTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HT-29";"None";"";"";"";"CHEMBL384";"HT-29";"Homo sapiens";"CELL-LINE";"CHEMBL2046436";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"CHEMBL3307768";"";""
"CHEMBL2048723";"";"None";"474.95";"0";"2.63";"16m";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3ccc(Cl)cc3)c2)[nH]c1=O";"IC50";"'='";"1.1";"nM";"8.96";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2051659";"Cytotoxicity against human HT-29 cells after 48 hrs by XTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HT-29";"None";"";"";"";"CHEMBL384";"HT-29";"Homo sapiens";"CELL-LINE";"CHEMBL2046436";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"CHEMBL3307768";"";""
"CHEMBL2048720";"";"None";"458.49";"0";"2.11";"16j";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3ccc(F)cc3)c2)[nH]c1=O";"IC50";"'='";"0.8";"nM";"9.10";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2051657";"Cytotoxicity against human A549 cells after 48 hrs by WST-8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"A549";"None";"";"";"";"CHEMBL392";"A549";"Homo sapiens";"CELL-LINE";"CHEMBL2046436";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"CHEMBL3307651";"";""
"CHEMBL3289280";"";"None";"429.30";"0";"2.70";"4n";"C=CCn1c(=O)/c(=C\c2ccc(Cl)c(Cl)c2)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294430";"Cytotoxicity against human NCI-H1975 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1975";"None";"";"";"";"CHEMBL614348";"NCI-H1975";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307601";"";""
"CHEMBL1096380";"PLINABULIN";"3.0";"336.40";"0";"0.74";"Plinabulin";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O";"IC50";"'='";"11.0";"nM";"7.96";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294430";"Cytotoxicity against human NCI-H1975 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1975";"None";"";"";"";"CHEMBL614348";"NCI-H1975";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307601";"";""
"CHEMBL3289277";"";"None";"428.41";"0";"2.41";"4k";"C=CCn1c(=O)/c(=C\c2ccccc2C(F)(F)F)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"4600.0";"nM";"5.34";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294669";"Cytotoxicity against human HL60 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL383";"HL-60";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307654";"";""
"CHEMBL3289277";"";"None";"428.41";"0";"2.41";"4k";"C=CCn1c(=O)/c(=C\c2ccccc2C(F)(F)F)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"2700.0";"nM";"5.57";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294670";"Cytotoxicity against human K562 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"K562";"None";"";"";"";"CHEMBL385";"K562";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308378";"";""
"CHEMBL3289269";"";"None";"488.18";"0";"2.91";"4c";"C=CCn1c(=O)/c(=C\c2cccc(Br)c2)[nH]c(=O)/c1=C\c1cccc(Br)c1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294672";"Cytotoxicity against human U937 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U-937";"None";"";"";"";"CHEMBL612794";"U-937";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308006";"";""
"CHEMBL3953294";"";"None";"468.41";"0";"0.88";"Fig 38, 20; KPU-35; NPI-2386";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(F)c2)[nH]c1=O.O=C(O)C(F)(F)F";"Ratio IC50";"'='";"2.7";"";"";"";"";"";"";"";"";"";"0";"CHEMBL3881619";"Ratio of IC50 for taxol-resistant human MES-SA/Dx5 cells expressing MDR1 mRNA and P-gp to IC50 for taxol-resistant human MES-SA/Dx5 cells expressing MDR1 mRNA and P-gp pretreated with p-gp inhibitor cyclosporinA followed by compound addition";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MES-SA/Dx5";"None";"";"";"";"CHEMBL613827";"MES-SA/Dx5";"Homo sapiens";"CELL-LINE";"CHEMBL3881525";"38";"Patent Bioactivity Data";"";"2007";"CHEMBL3308373";"";""
"CHEMBL4063810";"";"None";"337.40";"0";"0.74";"MBRI-001";"[2H]/C(c1nc[nH]c1C(C)(C)C)=c1/[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O";"Inhibition";"'='";"53.3";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4236184";"Antitumor activity against human NCI-H460 cells xenografted in nude mouse assessed as inhibition of tumor weight at 3 mg/kg, iv administered once in every 2 days for 14 consecutive days cotreated with 25 mg/kg gefitinib once daily for 14 consecutive days relative to control";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"NCI-H460";"None";"";"";"";"CHEMBL396";"NCI-H460";"Homo sapiens";"CELL-LINE";"CHEMBL4229536";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"CHEMBL3307677";"";""
"CHEMBL4063810";"";"None";"337.40";"0";"0.74";"MBRI-001";"[2H]/C(c1nc[nH]c1C(C)(C)C)=c1/[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O";"Inhibition";"'='";"56.9";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4236187";"Antitumor activity against human NCI-H460 cells xenografted in nude mouse assessed as inhibition of tumor volume at 6 mg/kg, iv administered once in every 2 days for 14 consecutive days relative to control";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"NCI-H460";"None";"";"";"";"CHEMBL396";"NCI-H460";"Homo sapiens";"CELL-LINE";"CHEMBL4229536";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"CHEMBL3307677";"";""
"CHEMBL3289267";"";"None";"399.28";"0";"2.69";"4a";"C=CCn1c(=O)/c(=C\c2ccc(Cl)c(Cl)c2)[nH]c(=O)/c1=C\c1ccccc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294430";"Cytotoxicity against human NCI-H1975 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1975";"None";"";"";"";"CHEMBL614348";"NCI-H1975";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307601";"";""
"CHEMBL3289275";"";"None";"394.86";"0";"2.04";"4i";"C=CCn1c(=O)/c(=C\c2ccccc2Cl)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"9200.0";"nM";"5.04";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294430";"Cytotoxicity against human NCI-H1975 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1975";"None";"";"";"";"CHEMBL614348";"NCI-H1975";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307601";"";""
"CHEMBL3289276";"";"None";"378.40";"0";"1.53";"4j";"C=CCn1c(=O)/c(=C\c2ccccc2F)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"25100.0";"nM";"4.60";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294430";"Cytotoxicity against human NCI-H1975 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1975";"None";"";"";"";"CHEMBL614348";"NCI-H1975";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307601";"";""
"CHEMBL3289272";"";"None";"394.86";"0";"2.04";"4f";"C=CCn1c(=O)/c(=C\c2cccc(Cl)c2)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"4500.0";"nM";"5.35";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294669";"Cytotoxicity against human HL60 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL383";"HL-60";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307654";"";""
"CHEMBL3289278";"";"None";"390.44";"0";"1.40";"4l";"C=CCn1c(=O)/c(=C\c2ccccc2OC)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"15700.0";"nM";"4.80";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294669";"Cytotoxicity against human HL60 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL383";"HL-60";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307654";"";""
"CHEMBL3289279";"";"None";"429.30";"0";"2.70";"4m";"C=CCn1c(=O)/c(=C\c2cccc(Cl)c2Cl)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294669";"Cytotoxicity against human HL60 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL383";"HL-60";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307654";"";""
"CHEMBL3289284";"";"None";"374.44";"0";"1.70";"4r";"C=CCn1c(=O)/c(=C\c2ccc(C)cc2)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294669";"Cytotoxicity against human HL60 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL383";"HL-60";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307654";"";""
"CHEMBL3289280";"";"None";"429.30";"0";"2.70";"4n";"C=CCn1c(=O)/c(=C\c2ccc(Cl)c(Cl)c2)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294670";"Cytotoxicity against human K562 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"K562";"None";"";"";"";"CHEMBL385";"K562";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308378";"";""
"CHEMBL3289282";"";"None";"457.30";"0";"2.29";"4p";"C=CCn1c(=O)/c(=C\c2ccc(F)c(Br)c2)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294670";"Cytotoxicity against human K562 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"K562";"None";"";"";"";"CHEMBL385";"K562";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308378";"";""
"CHEMBL3289288";"";"None";"389.24";"0";"2.04";"4w";"COc1ccccc1/C=c1/[nH]c(=O)/c(=C\c2cccc(Cl)c2Cl)[nH]c1=O";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294670";"Cytotoxicity against human K562 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"K562";"None";"";"";"";"CHEMBL385";"K562";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308378";"";""
"CHEMBL3289281";"";"None";"457.30";"0";"2.29";"4o";"C=CCn1c(=O)/c(=C\c2cc(Br)ccc2F)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"12900.0";"nM";"4.89";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294671";"Cytotoxicity against human MOLT4 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MOLT-4";"None";"";"";"";"CHEMBL614177";"MOLT-4";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307557";"";""
"CHEMBL3289271";"";"None";"439.31";"0";"2.15";"4e";"C=CCn1c(=O)/c(=C\c2cccc(Br)c2)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294672";"Cytotoxicity against human U937 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U-937";"None";"";"";"";"CHEMBL612794";"U-937";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308006";"";""
"CHEMBL3289273";"";"None";"378.40";"0";"1.53";"4g";"C=CCn1c(=O)/c(=C\c2cccc(F)c2)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"2500.0";"nM";"5.60";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294672";"Cytotoxicity against human U937 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U-937";"None";"";"";"";"CHEMBL612794";"U-937";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308006";"";""
"CHEMBL3289277";"";"None";"428.41";"0";"2.41";"4k";"C=CCn1c(=O)/c(=C\c2ccccc2C(F)(F)F)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"1500.0";"nM";"5.82";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294672";"Cytotoxicity against human U937 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U-937";"None";"";"";"";"CHEMBL612794";"U-937";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308006";"";""
"CHEMBL3289278";"";"None";"390.44";"0";"1.40";"4l";"C=CCn1c(=O)/c(=C\c2ccccc2OC)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"5100.0";"nM";"5.29";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294672";"Cytotoxicity against human U937 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U-937";"None";"";"";"";"CHEMBL612794";"U-937";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308006";"";""
"CHEMBL3289279";"";"None";"429.30";"0";"2.70";"4m";"C=CCn1c(=O)/c(=C\c2cccc(Cl)c2Cl)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294672";"Cytotoxicity against human U937 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U-937";"None";"";"";"";"CHEMBL612794";"U-937";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308006";"";""
"CHEMBL3289282";"";"None";"457.30";"0";"2.29";"4p";"C=CCn1c(=O)/c(=C\c2ccc(F)c(Br)c2)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294672";"Cytotoxicity against human U937 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U-937";"None";"";"";"";"CHEMBL612794";"U-937";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308006";"";""
"CHEMBL3289279";"";"None";"429.30";"0";"2.70";"4m";"C=CCn1c(=O)/c(=C\c2cccc(Cl)c2Cl)[nH]c(=O)/c1=C\c1ccccc1OC";"Activity";"'='";"8.7";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3294674";"Cytotoxicity against human U937 cells assessed as viable cells at 10 uM after 24 hrs by CCK8 assay relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U-937";"None";"";"";"";"CHEMBL612794";"U-937";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308006";"";""
"CHEMBL3289279";"";"None";"429.30";"0";"2.70";"4m";"C=CCn1c(=O)/c(=C\c2cccc(Cl)c2Cl)[nH]c(=O)/c1=C\c1ccccc1OC";"Activity";"'='";"42.6";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3294684";"Cytotoxicity against human NCI-H1975 cells assessed as viable cells at 10 uM after 48 hrs by CCK8 assay relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1975";"None";"";"";"";"CHEMBL614348";"NCI-H1975";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307601";"";""
"CHEMBL3289276";"";"None";"378.40";"0";"1.53";"4j";"C=CCn1c(=O)/c(=C\c2ccccc2F)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"45000.0";"nM";"4.35";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294665";"Cytotoxicity against human HeLa cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL399";"HeLa";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308376";"";""
"CHEMBL3289288";"";"None";"389.24";"0";"2.04";"4w";"COc1ccccc1/C=c1/[nH]c(=O)/c(=C\c2cccc(Cl)c2Cl)[nH]c1=O";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294665";"Cytotoxicity against human HeLa cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL399";"HeLa";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308376";"";""
"CHEMBL3930439";"";"None";"338.41";"0";"1.91";"t-Bu-PLH";"CC(C)(C)c1[nH]cnc1/C=C1\NC(=O)C(Cc2ccccc2)NC1=O";"Ratio IC50";"'>'";"20.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL3881583";"Ratio of IC50 for human CCD-27sk cells to IC50 for human HT-29 cells";"U";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HT-29";"None";"";"";"";"CHEMBL384";"HT-29";"Homo sapiens";"CELL-LINE";"CHEMBL3881525";"38";"Patent Bioactivity Data";"";"2007";"CHEMBL3307768";"";""
"CHEMBL1096380";"PLINABULIN";"3.0";"336.40";"0";"0.74";"KPU-02; NPI-2358; tBu-delta-PLH";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL3881589";"Effect on cell cycle progression in human HeLa cells assessed as reduction in 2N cells at 100 nM";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL399";"HeLa";"Homo sapiens";"CELL-LINE";"CHEMBL3881525";"38";"Patent Bioactivity Data";"";"2007";"CHEMBL3308376";"";""
"CHEMBL3953294";"";"None";"468.41";"0";"0.88";"Fig 38, 20; KPU-35; NPI-2386";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(F)c2)[nH]c1=O.O=C(O)C(F)(F)F";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL3881591";"Effect on cell cycle progression in human HeLa cells assessed as reduction in 2N cells at 40 nM";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL399";"HeLa";"Homo sapiens";"CELL-LINE";"CHEMBL3881525";"38";"Patent Bioactivity Data";"";"2007";"CHEMBL3308376";"";""
"CHEMBL1096380";"PLINABULIN";"3.0";"336.40";"0";"0.74";"KPU-02; NPI-2358; tBu-delta-PLH";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL3881633";"Induction of apoptosis in human Jurkat cells assessed as DNA laddering at 1 nM by gel electrophoresis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Jurkat";"None";"";"";"";"CHEMBL397";"Jurkat";"Homo sapiens";"CELL-LINE";"CHEMBL3881525";"38";"Patent Bioactivity Data";"";"2007";"CHEMBL3307526";"";""
"CHEMBL4224871";"";"None";"433.51";"0";"0.98";"9b";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)N3CCCC3)c2)[nH]c1=O";"IC50";"'='";"324.9";"nM";"6.49";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4222806";"Antiproliferative activity against human BxPC3 cells after 72 hrs by sulforhodamine B assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BXPC-3";"None";"";"";"";"CHEMBL614530";"BXPC-3";"Homo sapiens";"CELL-LINE";"CHEMBL4219170";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"CHEMBL3307637";"";""
"CHEMBL4640266";"";"None";"401.40";"0";"2.05";"17a";"O=c1[nH]/c(=C\c2ccccn2)c(=O)[nH]/c1=C\c1cccc(Oc2ccc(F)cc2)c1";"IC50";"'='";"49.1";"nM";"7.31";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4629251";"Cytotoxicity against human NCI-H460 cells assessed as reduction in cell viability after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H460";"None";"";"";"";"CHEMBL396";"NCI-H460";"Homo sapiens";"CELL-LINE";"CHEMBL4627367";"1";"Scientific Literature";"Bioorg Med Chem";"2020";"CHEMBL3307677";"";""
"CHEMBL4640318";"";"None";"430.44";"0";"2.25";"14c";"O=c1[nH]/c(=C\c2nc[nH]c2C2CC2)c(=O)[nH]/c1=C\c1cccc(Oc2ccc(F)cc2)c1";"IC50";"'='";"15.2";"nM";"7.82";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4629251";"Cytotoxicity against human NCI-H460 cells assessed as reduction in cell viability after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H460";"None";"";"";"";"CHEMBL396";"NCI-H460";"Homo sapiens";"CELL-LINE";"CHEMBL4627367";"1";"Scientific Literature";"Bioorg Med Chem";"2020";"CHEMBL3307677";"";""
