,Mol_ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard_Type,Standard Relation,standard_value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target_Name,Target Organism,Target Type,Document_ID,Source ID,Source_Description,Document_Journal,Document_Year,Cell ChEMBL ID,Properties,Action Type
171,CHEMBL2031707,,None,440.55,0,3.93,4b,CC(C)=CCc1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,IC50,'=',80800.0,nM,4.09,,,UO_0000065,,,,,0,CHEMBL2032599,Cytotoxicity against human cisplatin resistant A2780 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A2780,None,,,,CHEMBL614004,A2780,Homo sapiens,CELL-LINE,CHEMBL2029224,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3308421,,
172,CHEMBL3289270,,None,499.36,0,2.17,4d,C=CCn1c(=O)/c(=C\c2cc(OC)c(OC)c(OC)c2)[nH]c(=O)/c1=C\c1cccc(Br)c1,IC50,,,,,,Not Active,,,,,,0,CHEMBL3294665,Cytotoxicity against human HeLa cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL399,HeLa,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308376,,
173,CHEMBL3289278,,None,390.44,0,1.4,4l,C=CCn1c(=O)/c(=C\c2ccccc2OC)[nH]c(=O)/c1=C\c1ccccc1OC,IC50,'=',6900.0,nM,5.16,,,UO_0000065,,,,,0,CHEMBL3294665,Cytotoxicity against human HeLa cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL399,HeLa,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308376,,
174,CHEMBL3289283,,None,392.43,0,1.84,4q,C=CCn1c(=O)/c(=C\c2cc(F)ccc2C)[nH]c(=O)/c1=C\c1ccccc1OC,IC50,'=',2900.0,nM,5.54,,,UO_0000065,,,,,0,CHEMBL3294665,Cytotoxicity against human HeLa cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL399,HeLa,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308376,,
175,CHEMBL3289289,,None,366.42,0,0.75,4x,COc1ccccc1/C=c1/[nH]c(=O)/c(=C\c2nc[nH]c2C(C)(C)C)[nH]c1=O,IC50,'=',100.0,nM,7.0,,,UO_0000065,,,,,0,CHEMBL3294430,Cytotoxicity against human NCI-H1975 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,NCI-H1975,None,,,,CHEMBL614348,NCI-H1975,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3307601,,
176,CHEMBL3289271,,None,439.31,0,2.15,4e,C=CCn1c(=O)/c(=C\c2cccc(Br)c2)[nH]c(=O)/c1=C\c1ccccc1OC,IC50,'=',5400.0,nM,5.27,,,UO_0000065,,,,,0,CHEMBL3294668,Cytotoxicity against human A549 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A549,None,,,,CHEMBL392,A549,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3307651,,
177,CHEMBL1868039,,None,350.37,0,0.74,4v,COc1ccccc1/C=c1/[nH]c(=O)/c(=C\c2ccccc2OC)[nH]c1=O,IC50,,,,,,Not Active,,,,,,0,CHEMBL3294668,Cytotoxicity against human A549 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A549,None,,,,CHEMBL392,A549,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3307651,,
178,CHEMBL3289281,,None,457.3,0,2.29,4o,C=CCn1c(=O)/c(=C\c2cc(Br)ccc2F)[nH]c(=O)/c1=C\c1ccccc1OC,IC50,'=',5100.0,nM,5.29,,,UO_0000065,,,,,0,CHEMBL3294670,Cytotoxicity against human K562 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,K562,None,,,,CHEMBL385,K562,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308378,,
179,CHEMBL3289274,,None,374.44,0,1.7,4h,C=CCn1c(=O)/c(=C\c2cccc(C)c2)[nH]c(=O)/c1=C\c1ccccc1OC,IC50,'=',16000.0,nM,4.8,,,UO_0000065,,,,,0,CHEMBL3294671,Cytotoxicity against human MOLT4 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MOLT-4,None,,,,CHEMBL614177,MOLT-4,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3307557,,
180,CHEMBL1096380,PLINABULIN,3.0,336.4,0,0.74,Plinabulin,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,IC50,,,,,,Not Determined,,,,,,0,CHEMBL3294671,Cytotoxicity against human MOLT4 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MOLT-4,None,,,,CHEMBL614177,MOLT-4,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3307557,,
181,CHEMBL2031711,,None,325.41,0,2.22,11b,CC(C)=CCc1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@@H](C)NC1=O,IC50,'=',34500.0,nM,4.46,,,UO_0000065,,,,,0,CHEMBL2032597,Cytotoxicity against human K562 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,K562,None,,,,CHEMBL385,K562,Homo sapiens,CELL-LINE,CHEMBL2029224,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3308378,,
182,CHEMBL2031714,,None,391.48,0,2.17,14b,CC(C)=CCc1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,IC50,'=',91800.0,nM,4.04,,,UO_0000065,,,,,0,CHEMBL2032598,Cytotoxicity against human cisplatin sensitive A2780 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A2780,None,,,,CHEMBL614004,A2780,Homo sapiens,CELL-LINE,CHEMBL2029224,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3308421,,
183,CHEMBL226544,,None,243.27,0,0.32,"2a, cyclo-L-Trp-Gly",O=C1CNC(=O)[C@H](Cc2c[nH]c3ccccc23)N1,IC50,'>',100000.0,nM,,,,UO_0000065,,,,,0,CHEMBL2032599,Cytotoxicity against human cisplatin resistant A2780 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A2780,None,,,,CHEMBL614004,A2780,Homo sapiens,CELL-LINE,CHEMBL2029224,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3308421,,
184,CHEMBL4796022,,None,410.56,0,3.48,1h,C=CCn1c(=O)/c(=C/CCCCCCCCC)[nH]c(=O)/c1=C/c1ccccc1OC,IC50,'=',18800.0,nM,4.73,,,UO_0000065,,,,,0,CHEMBL4718403,Cytotoxicity against human U-937 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,U-937,None,,,,CHEMBL612794,U-937,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3308006,TIME = 72.0 hr,
185,CHEMBL4793845,,None,410.56,0,3.48,2h,C=CCn1c(=O)/c(=C/CCCCCCCCC)[nH]c(=O)/c1=C/c1cccc(OC)c1,IC50,,,,,,Not Active,,,,,,0,CHEMBL4718404,Cytotoxicity against human K562 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,K562,None,,,,CHEMBL385,K562,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3308378,TIME = 72.0 hr,
186,CHEMBL4797507,,None,368.48,0,2.31,3e,C=CCn1c(=O)/c(=C/CCCCCC)[nH]c(=O)/c1=C/c1ccc(OC)cc1,IC50,'=',3400.0,nM,5.47,,,UO_0000065,,,,,0,CHEMBL4718405,Cytotoxicity against human HL-60 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HL-60,None,,,,CHEMBL383,HL-60,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3307654,TIME = 72.0 hr,
187,CHEMBL4792497,,None,326.4,0,1.14,3b,C=CCn1c(=O)/c(=C/CCC)[nH]c(=O)/c1=C/c1ccc(OC)cc1,IC50,'=',6200.0,nM,5.21,,,UO_0000065,,,,,0,CHEMBL4718405,Cytotoxicity against human HL-60 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HL-60,None,,,,CHEMBL383,HL-60,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3307654,TIME = 72.0 hr,
188,CHEMBL4783249,,None,494.72,1,5.82,2k,C=CCn1c(=O)/c(=C/CCCCCCCCCCCCCCC)[nH]c(=O)/c1=C/c1cccc(OC)c1,IC50,,,,,,Not Active,,,,,,0,CHEMBL4718405,Cytotoxicity against human HL-60 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HL-60,None,,,,CHEMBL383,HL-60,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3307654,TIME = 72.0 hr,
189,CHEMBL4747119,,None,494.72,1,5.82,3k,C=CCn1c(=O)/c(=C/CCCCCCCCCCCCCCC)[nH]c(=O)/c1=C/c1ccc(OC)cc1,IC50,,,,,,Not Active,,,,,,0,CHEMBL4718406,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A549,None,,,,CHEMBL392,A549,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3307651,TIME = 72.0 hr,
190,CHEMBL4792497,,None,326.4,0,1.14,3b,C=CCn1c(=O)/c(=C/CCC)[nH]c(=O)/c1=C/c1ccc(OC)cc1,IC50,'=',12300.0,nM,4.91,,,UO_0000065,,,,,0,CHEMBL4718406,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A549,None,,,,CHEMBL392,A549,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3307651,TIME = 72.0 hr,
191,CHEMBL4789370,,None,326.4,0,1.14,2b,C=CCn1c(=O)/c(=C/CCC)[nH]c(=O)/c1=C/c1cccc(OC)c1,IC50,,,,,,Not Active,,,,,,0,CHEMBL4718406,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A549,None,,,,CHEMBL392,A549,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3307651,TIME = 72.0 hr,
192,CHEMBL4747119,,None,494.72,1,5.82,3k,C=CCn1c(=O)/c(=C/CCCCCCCCCCCCCCC)[nH]c(=O)/c1=C/c1ccc(OC)cc1,IC50,,,,,,Not Active,,,,,,0,CHEMBL4718407,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL387,MCF7,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3308403,TIME = 72.0 hr,
193,CHEMBL4747045,,None,410.56,0,3.48,3h,C=CCn1c(=O)/c(=C/CCCCCCCCC)[nH]c(=O)/c1=C/c1ccc(OC)cc1,IC50,,,,,,Not Active,,,,,,0,CHEMBL4718407,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL387,MCF7,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3308403,TIME = 72.0 hr,
194,CHEMBL4755789,,None,438.61,0,4.26,1j,C=CCn1c(=O)/c(=C/CCCCCCCCCCC)[nH]c(=O)/c1=C/c1ccccc1OC,IC50,,,,,,Not Active,,,,,,0,CHEMBL4718407,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL387,MCF7,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3308403,TIME = 72.0 hr,
195,CHEMBL1096380,PLINABULIN,3.0,336.4,0,0.74,NPI-2358,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,IC50,'=',8.4,nM,8.08,,,UO_0000065,,,,,0,CHEMBL4718408,Cytotoxicity against human HeLa cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL399,HeLa,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3308376,TIME = 72.0 hr,
196,CHEMBL4780890,,None,429.3,0,2.7,4m,C=CCn1c(=O)/c(=C/c2cccc(Cl)c2Cl)[nH]c(=O)/c1=C/c1ccccc1OC,IC50,'=',1600.0,nM,5.8,,,UO_0000065,,,,,0,CHEMBL4718408,Cytotoxicity against human HeLa cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL399,HeLa,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3308376,TIME = 72.0 hr,
197,CHEMBL4747045,,None,410.56,0,3.48,3h,C=CCn1c(=O)/c(=C/CCCCCCCCC)[nH]c(=O)/c1=C/c1ccc(OC)cc1,IC50,,,,,,Not Active,,,,,,0,CHEMBL4718408,Cytotoxicity against human HeLa cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL399,HeLa,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3308376,TIME = 72.0 hr,
198,CHEMBL4798793,,None,354.45,0,1.92,1d,C=CCn1c(=O)/c(=C/CCCCC)[nH]c(=O)/c1=C/c1ccccc1OC,IC50,'=',5700.0,nM,5.24,,,UO_0000065,,,,,0,CHEMBL4718408,Cytotoxicity against human HeLa cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL399,HeLa,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3308376,TIME = 72.0 hr,
199,CHEMBL4780890,,None,429.3,0,2.7,4m,C=CCn1c(=O)/c(=C/c2cccc(Cl)c2Cl)[nH]c(=O)/c1=C/c1ccccc1OC,IC50,'=',4200.0,nM,5.38,,,UO_0000065,,,,,0,CHEMBL4718409,Cytotoxicity against human DU-145 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,DU-145,None,,,,CHEMBL613508,DU-145,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3308034,TIME = 72.0 hr,
200,CHEMBL4757025,,None,438.61,0,4.26,3j,C=CCn1c(=O)/c(=C/CCCCCCCCCCC)[nH]c(=O)/c1=C/c1ccc(OC)cc1,IC50,,,,,,Not Active,,,,,,0,CHEMBL4718409,Cytotoxicity against human DU-145 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,DU-145,None,,,,CHEMBL613508,DU-145,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3308034,TIME = 72.0 hr,
201,CHEMBL4798793,,None,354.45,0,1.92,1d,C=CCn1c(=O)/c(=C/CCCCC)[nH]c(=O)/c1=C/c1ccccc1OC,IC50,'=',10700.0,nM,4.97,,,UO_0000065,,,,,0,CHEMBL4718409,Cytotoxicity against human DU-145 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,DU-145,None,,,,CHEMBL613508,DU-145,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3308034,TIME = 72.0 hr,
202,CHEMBL4797507,,None,368.48,0,2.31,3e,C=CCn1c(=O)/c(=C/CCCCCC)[nH]c(=O)/c1=C/c1ccc(OC)cc1,IC50,'=',1600.0,nM,5.8,,,UO_0000065,,,,,0,CHEMBL4718410,Cytotoxicity against human HT-29 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3307768,TIME = 72.0 hr,
203,CHEMBL4798793,,None,354.45,0,1.92,1d,C=CCn1c(=O)/c(=C/CCCCC)[nH]c(=O)/c1=C/c1ccccc1OC,IC50,'=',7400.0,nM,5.13,,,UO_0000065,,,,,0,CHEMBL4718410,Cytotoxicity against human HT-29 cells assessed as reduction in cell viability measured after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL4715742,1,Scientific Literature,Eur. J. Med. Chem.,2016.0,CHEMBL3307768,TIME = 72.0 hr,
208,CHEMBL1096380,PLINABULIN,3.0,336.4,0,0.74,"11, KPU-2/NPI-2358, Plinabulin",CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,IC50,'=',14.9,nM,7.83,,,UO_0000065,,,,,0,CHEMBL2026543,Cytotoxicity against human HT-29 cells after 48 hrs using resazurin by microplate fluorometer analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL2021797,1,Scientific Literature,J. Med. Chem.,2012.0,CHEMBL3307768,,
209,CHEMBL2024535,,None,396.45,0,0.76,24,COc1ccc(/C=c2\[nH]c(=O)/c(=C/c3nc[nH]c3C(C)(C)C)[nH]c2=O)cc1OC,IC50,'=',2020.0,nM,5.7,,,UO_0000065,,,,,0,CHEMBL2026543,Cytotoxicity against human HT-29 cells after 48 hrs using resazurin by microplate fluorometer analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL2021797,1,Scientific Literature,J. Med. Chem.,2012.0,CHEMBL3307768,,
210,CHEMBL2047546,,None,273.29,0,-0.31,"11, cycloL-Trp-L-Ser",O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H]1CO,IC50,'>',10000.0,nM,,,,UO_0000065,,,,,0,CHEMBL2050503,Cytotoxicity against human A2780 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A2780,None,,,,CHEMBL614004,A2780,Homo sapiens,CELL-LINE,CHEMBL2046435,1,Scientific Literature,J. Nat. Prod.,2012.0,CHEMBL3308421,,
211,CHEMBL2031705,,None,311.39,0,1.83,2b,CC(C)=CCc1[nH]c2ccccc2c1C[C@@H]1NC(=O)CNC1=O,IC50,'=',16700.0,nM,4.78,,,UO_0000065,,,,,0,CHEMBL2032597,Cytotoxicity against human K562 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,K562,None,,,,CHEMBL385,K562,Homo sapiens,CELL-LINE,CHEMBL2029224,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3308378,,
212,CHEMBL191011,,None,372.43,0,2.42,"4a, cyclo-L-Trp-L-Trp",O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H]1Cc1c[nH]c2ccccc12,IC50,'>',100000.0,nM,,,,UO_0000065,,,,,0,CHEMBL2032598,Cytotoxicity against human cisplatin sensitive A2780 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A2780,None,,,,CHEMBL614004,A2780,Homo sapiens,CELL-LINE,CHEMBL2029224,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3308421,,
213,CHEMBL2031711,,None,325.41,0,2.22,11b,CC(C)=CCc1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@@H](C)NC1=O,IC50,'=',77000.0,nM,4.11,,,UO_0000065,,,,,0,CHEMBL2032599,Cytotoxicity against human cisplatin resistant A2780 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A2780,None,,,,CHEMBL614004,A2780,Homo sapiens,CELL-LINE,CHEMBL2029224,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3308421,,
217,CHEMBL4476161,,None,607.76,2,5.88,25,Cc1ccc2nc([C@H](CC3CCN(C(=O)C(C)C)CC3)N3CC(=O)N(c4ccc(Oc5ccccc5)cc4)CC3=O)n(C)c2c1,IC50,'>',100000.0,nM,,,,UO_0000065,,,,,0,CHEMBL4341827,Cytotoxicity against human HuH7 cells assessed as reduction in cell viability incubated for 24 hrs by MTT assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,Huh-7 ,None,,,,CHEMBL614039,Huh-7,Homo sapiens,CELL-LINE,CHEMBL4340545,1,Scientific Literature,Bioorg. Med. Chem.,2019.0,CHEMBL3307515,,
218,CHEMBL1096380,PLINABULIN,3.0,336.4,0,0.74,NPI-2358,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,IC50,'=',18.0,nM,7.75,,,UO_0000065,,,,,0,CHEMBL1921639,Cytotoxicity against human HT-29 cells,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL1914362,1,Scientific Literature,Bioorg. Med. Chem.,2011.0,CHEMBL3307768,,
219,CHEMBL1096380,PLINABULIN,3.0,336.4,0,0.74,Plinabulin,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,IC50,'=',33.9,nM,7.47,,,UO_0000065,,,,,0,CHEMBL3999789,Cytotoxicity against human NCI-H460 cells assessed as decrease in cell viability after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,NCI-H460,None,,,,CHEMBL396,NCI-H460,Homo sapiens,CELL-LINE,CHEMBL3997832,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2017.0,CHEMBL3307677,,
220,CHEMBL2024544,,None,372.38,0,1.02,"33, KPU-89",CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cc(F)ccc2F)[nH]c1=O,IC50,'=',2.6,nM,8.59,,,UO_0000065,,,,,0,CHEMBL2026543,Cytotoxicity against human HT-29 cells after 48 hrs using resazurin by microplate fluorometer analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL2021797,1,Scientific Literature,J. Med. Chem.,2012.0,CHEMBL3307768,,
222,CHEMBL3289289,,None,366.42,0,0.75,4x,COc1ccccc1/C=c1/[nH]c(=O)/c(=C\c2nc[nH]c2C(C)(C)C)[nH]c1=O,IC50,'=',100.0,nM,7.0,,,UO_0000065,,,,,0,CHEMBL3294667,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL387,MCF7,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308403,,
225,CHEMBL2048713,,None,470.53,0,1.98,16c,COc1ccc(C(=O)c2cccc(/C=c3\[nH]c(=O)/c(=C/c4nc[nH]c4C(C)(C)C)[nH]c3=O)c2)cc1,IC50,'=',3.8,nM,8.42,,,UO_0000065,,,,,0,CHEMBL2051659,Cytotoxicity against human HT-29 cells after 48 hrs by XTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL2046436,1,Scientific Literature,Bioorg. Med. Chem.,2012.0,CHEMBL3307768,,
226,CHEMBL2048722,,None,474.95,0,2.63,16l,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3cccc(Cl)c3)c2)[nH]c1=O,IC50,'=',2.0,nM,8.7,,,UO_0000065,,,,,0,CHEMBL2051659,Cytotoxicity against human HT-29 cells after 48 hrs by XTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL2046436,1,Scientific Literature,Bioorg. Med. Chem.,2012.0,CHEMBL3307768,,
